# treaty table, config default
left	right	junction	extension	kern
qsAh.hapax	qsAh.hapax	break	0	0
qsAh.hapax	qsAh.hapax.ex-y5	break	0	0
qsAh.hapax	qsAh.hapax.ex-y5.ex-ext-1	break	0	0
qsAh.hapax	qsFee.loop.ex-y5	break	0	0
qsAh.hapax	qsFee.loop.ex-y5.ex-ext-1	break	0	0
qsAh.hapax	qsFee.loop.ex-y5.ex-ext-3	break	0	0
qsAh.hapax	qsI.loop	break	0	0
qsAh.hapax	qsI.loop.ex-y5	break	0	0
qsAh.hapax	qsI.loop.ex-y5.ex-ext-1	break	0	0
qsAh.hapax	qsLow.hapax	break	0	0
qsAh.hapax	qsLow.hapax.ex-y5	break	0	0
qsAh.hapax	qsLow.hapax.ex-y5.ex-ext-1	break	0	0
qsAh.hapax	qsOut.normal	break	0	0
qsAh.hapax	qsOut.swept-up.ex-y5	break	0	0
qsAh.hapax	qsOut.swept-up.ex-y5.ex-ext-1	break	0	0
qsAh.hapax	qsOut_qsTea.hapax	break	0	0
qsAh.hapax	qsPea.full	break	0	0
qsAh.hapax	qsPea.full.ex-y0	break	0	0
qsAh.hapax	qsPea.half.ex-y5	break	0	0
qsAh.hapax	qsPea.half.ex-y6	break	0	0
qsAh.hapax	qsRoe.hapax.ex-y5	break	0	0
qsAh.hapax	qsSee.curled-over.ex-y6	break	0	0
qsAh.hapax	qsSee.normal	break	0	0
qsAh.hapax	qsSee.normal.ex-y8	break	0	0
qsAh.hapax	qsSee.straighter.ex-y0	break	0	0
qsAh.hapax	qsSee.straighter.ex-y0.ex-ext-2	break	0	0
qsAh.hapax	qsSee_qsUtter.hapax	break	0	0
qsAh.hapax	qsSee_qsUtter.hapax.ex-y5	break	0	0
qsAh.hapax	qsSee_qsUtter.hapax.ex-y5.ex-ext-1	break	0	0
qsAh.hapax	qsTea.full	break	0	0
qsAh.hapax	qsTea.full.ex-y0	break	0	0
qsAh.hapax	qsTea.half.ex-y5	break	0	0
qsAh.hapax	qsTea_qsOy.hapax	break	0	0
qsAh.hapax	qsTea_qsOy.hapax.ex-y0	break	0	0
qsAh.hapax	qsUtter.alternate.ex-y0	break	0	0
qsAh.hapax	qsUtter.mono	break	0	0
qsAh.hapax	qsUtter.mono.ex-y5	break	0	0
qsAh.hapax	qsUtter.mono.ex-y5.ex-ext-1	break	0	0
qsAh.hapax	qsVie.normal	break	0	0
qsAh.hapax	qsVie.swept-out.ex-y0	break	0	0
